Index,Food_name,Cuisine_id,Calories,Fat,Carbohydrates,Protein,Sodium,Meal_type_id,Veg_non_veg,Expected Price
1,Pad Thai,Thai,190,4.8,26.4,7.7,350,Rice based,NV,200
2,Tom Yum Soup,Thai,30,0.5,5,2,125,Sea food based,NV,150
3,Green Curry,Thai,118,6.2,14,1.9,300,Meat based,NV,250
4,Papaya Salad,Thai,56,0.5,12,2.5,200,Salad based,V,100
5,Massaman Curry,Thai,186,10.3,20,3.3,275,Meat based,NV,300
6,Spring Rolls,Thai,305,6.2,46.3,12.3,650,Wheat based,V,150
7,Mango Sticky Rice,Thai,153,2,33.6,1.7,25,Rice based,V,100
8,Satay,Thai,312,24.5,9.8,13.5,500,Meat based,NV,200
9,Panang Curry,Thai,183,10.6,18.6,3.3,225,Meat based,NV,250
10,Kai Med Ma Muang,Thai,220,13.7,11.9,11.8,375,Meat based,NV,300
11,Khao Pad,Thai,171,6.1,25.2,3.4,275,Rice based,NV,150
12,Laab,Thai,210,11,8,22,350,Meat based,NV,200
13,Pad See Ew,Thai,215,7.3,34,4.7,400,Wheat based,NV,250
14,Red Curry,Thai,118,6.2,14,1.9,300,Meat based,NV,200
15,Tod Mun,Thai,264,19.6,14.2,8.2,350,Sea food based,NV,300
16,Caesar Salad,Cafe,184,14,7,7,594,Salad based,NV,200
17,Club Sandwich,Cafe,535,32.1,38.8,22.7,1250,Wheat based,NV,250
18,Croissant,Cafe,406,23.5,42.1,8.5,753,Wheat based,V,50
19,Pancakes,Cafe,227,9.2,34.5,5,461,Wheat based,V,150
20,Chili Con Carne,Cafe,139,5.5,14.1,8.5,330,Meat based,NV,200
21,Quiche,Cafe,238,15.3,14.3,9.3,527,Wheat based,V,150
22,Chicken and Mushroom Pie,Cafe,242,15.4,16.4,7.4,494,Wheat based,NV,250
23,Beef Burger,Cafe,295,13.7,28.2,16.2,628,Wheat based,NV,300
24,Ham and Cheese Croissant,Cafe,295,17.7,22.6,10.4,862,Wheat based,NV,100
25,French Toast,Cafe,273,14.2,28.2,6.5,337,Wheat based,V,150
26,Fruit Salad,Cafe,70,0.3,17.3,0.9,11,Fruits,V,100
27,English Breakfast,Cafe,325,21.8,8.5,19.6,920,Meat based,NV,300
28,Hot Chocolate,Cafe,100,2.6,14.6,3.6,69,Milk based,V,100
29,Tuna Melt Sandwich,Cafe,390,20.5,32.5,22.5,1300,Wheat based,NV,250
30,Cappuccino,Cafe,60,2.5,5.5,3.5,50,Milk based,V,100
31,Chicken Teriyaki Bowl,Teriyaki,320,7.5,40,24,1020,Rice based,NV,300
32,Beef Teriyaki Bowl,Teriyaki,310,5.5,42,24,1140,Rice based,NV,350
33,Sesame Ginger Tofu,Teriyaki,167,10,11,10,530,Rice based,V,250
34,Vegetable Yakisoba,Teriyaki,181,2,36,5,620,Wheat based,V,200
35,Salmon Teriyaki,Teriyaki,301,18.7,10.4,22.7,760,Sea food based,NV,400
36,Tofu Teriyaki,Teriyaki,164,7.3,11.4,13,801,Rice based,V,250
37,Shrimp Teriyaki Bowl,Teriyaki,221,3.3,39.4,9.4,500,Rice based,NV,350
38,Chicken Katsu,Teriyaki,277,15,13,22,782,Meat based,NV,300
39,Beef Katsu,Teriyaki,285,16,22,12,607,Meat based,NV,350
40,Tempura Shrimp Roll,Teriyaki,184,5.5,27,5.5,383,Wheat based,NV,200
41,California Roll,Teriyaki,225,5.5,38.5,6.5,519,Rice based,V,250
